gamma,method,group,bias,se,coverage,sd,rmse,ARE
0.0,SADA,common,0.0006867197983330131,0.02248106257824965,0.95,0.022247088116915642,0.022491548606723352,0.5381026825601366
0.0,naive,common,0.0016464047368267565,0.04176543663418898,0.948,0.04077192258353363,0.041797874895763545,1.0
0.0,ppi,yh1,0.0019943040846780447,0.06373214629959038,0.946,0.06356803773392275,0.06376334151167547,1.5255163491131998
0.0,ppi,yh2,0.0002940847198380503,0.027001803066449587,0.955,0.02670420678352815,0.027003404501317396,0.6460473066790854
0.0,ppi++,yh1,0.0015963730431077794,0.04181776408378451,0.949,0.04074686925227476,0.041848223377579825,1.001204570374495
0.0,ppi++,yh2,0.0007270645797236019,0.022480685332674992,0.949,0.022276924010026115,0.022492439528202297,0.5381239975547665
0.1,SADA,common,-0.0010049427430537938,0.022439230038693653,0.948,0.022607319180042388,0.02246172198755536,0.5522886019620257
0.1,naive,common,0.000338922803490016,0.04066884950207544,0.947,0.040756419626340974,0.040670261721424746,1.0
0.1,ppi,yh1,0.0013377559874384604,0.05817718627040207,0.94,0.057241603665740264,0.05819256476065466,1.430838216858568
0.1,ppi,yh2,-0.001512721291281105,0.024265057224757264,0.947,0.024871686336625776,0.02431216419461336,0.5977872569678085
0.1,ppi++,yh1,0.0005001525781604954,0.04050231911747992,0.944,0.040558270656411564,0.0405054071266494,0.9959465568256104
0.1,ppi++,yh2,-0.0010727454327202346,0.022381187919028458,0.949,0.02263755280245974,0.022406881876563894,0.550940193845867
0.2,SADA,common,0.000502099574538839,0.024327293518970068,0.951,0.023758655582374704,0.024332474472212543,0.6085093109626919
0.2,naive,common,0.0008030402448048202,0.039978956446231007,0.958,0.04073124971157378,0.039987020796308545,1.0
0.2,ppi,yh1,-8.782795678574651e-05,0.05066649419118192,0.954,0.05104532031588323,0.05066657031391669,1.2670753985901857
0.2,ppi,yh2,0.0004640504422737113,0.025085364401536952,0.95,0.024862085895243743,0.02508965623460935,0.6274449992765037
0.2,ppi++,yh1,0.0006611554528128671,0.03902073528255192,0.96,0.03984922952794019,0.03902633608889997,0.9759750867087038
0.2,ppi++,yh2,0.0004922152623862974,0.024299692536979552,0.95,0.023797825502436816,0.02430467718889238,0.6078141533148701
0.30000000000000004,SADA,common,-4.1814941487028356e-05,0.0269888971584198,0.943,0.025896244246176488,0.026988929551152854,0.644453810184517
